category,type,difficulty,question,correct_answer,incorrect_answers
"Science: Mathematics","multiple","medium","What is the derivative of sin(x)","cos(x)","csc(x)|-cos(x)|-sin(x)"
"Geography","multiple","hard","What is the capital city of Bermuda?","Hamilton","Santo Dominigo|San Juan|Havana"
"Entertainment: Cartoon &amp; Animations","multiple","medium","What is Scooby-Doo&#039;s real name?","Scoobert","Scooter|Scrappy|Shooby"
"Entertainment: Video Games","boolean","easy","Nintendo&#039;s Luigi was originally just called Green Mario?","False","True"
"Science: Mathematics","multiple","medium","At what temperature does temp in &deg;C equal temp in &deg;F?","-40","+40|0|+100"
"Entertainment: Television","multiple","easy","When Donkey Kong died in the &quot;Donkey Kong Country&quot; episode &quot;It&#039;s a Wonderful Life&quot;, who was his guardian angel?","Eddie the Mean Old Yeti","Kiddy Kong|Diddy Kong|King K. Rool"
"Sports","multiple","medium","What year was hockey legend Wayne Gretzky born?","1961","1965|1959|1963"
"Entertainment: Musicals &amp; Theatres","multiple","hard","Which actor has NOT portrayed Billy Flynn in the musical &quot;Chicago&quot;?","Christopher Walken","David Hasselhoff|Jerry Springer|Patrick Swayze"
"Entertainment: Film","multiple","easy","What is the name of the island that &quot;Jurassic Park&quot; is built on?","Isla Nublar","Isla Sorna|Isla Muerta|Isla Pena"
"General Knowledge","multiple","hard","Going by the International Code of Signals, which single flag is interpreted as &quot;I require assistance (not distress)&quot;?","Victor","Kilo|Papa|Delta"
"Entertainment: Video Games","multiple","medium","Which game is NOT part of the Science Adventure series by 5pb. and Nitroplus?","Occultic; Nine","Steins; Gate|Robotics; Notes|Chaos; Child"
"Entertainment: Cartoon &amp; Animations","multiple","easy","Which of these is NOT a Disney cartoon character?","Daffy Duck","Donald Duck|Daisy Duck|Scrooge McDuck"
"Entertainment: Video Games","boolean","medium","In Monster Hunter Generations, guild style is a type of hunting style.","True","False"
"Entertainment: Video Games","multiple","hard","In the alternate timeline in Mortal Kombat, which character was the one to slaughter the Shirai Ryu clan?","Quan Chi","Sub-Zero|Sektor|Shang Tsung"
"Science &amp; Nature","multiple","hard","How long is a light-year?","9.461 Trillion Kilometres","1 AU|105.40 Earth-years|501.2 Million Miles"
"Entertainment: Video Games","multiple","hard","In the &quot;Pikmin&quot; games, which of the following pikmin colors lacks it&#039;s own &quot;Onion&quot; nest?","Purple","Winged|Blue|Rock"
"Geography","multiple","hard","What is the tallest mountain in Canada?","Mount Logan","Mont Tremblant|Whistler Mountain|Blue Mountain"
"Vehicles","boolean","medium","When BMW was established in 1916, it was producing automobiles.","False","True"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","What is Gatomon&#039;s name in the original Japanese version of Digimon Adventure?","Tailmon","Pawmon|Catmon|Nekomon"
"Geography","multiple","medium","What is the official language of Bhutan?","Dzongkha","Ladakhi|Karen|Groma"
"Entertainment: Music","multiple","hard","Which of these songs is not by Tatsuro Yamashita?","Lucky Lady Feel So Good ","Merry-Go Round|Let&#039;s Dance Baby|Love Talkin&#039;"
"Entertainment: Video Games","multiple","easy","When was Minecraft first released to the public?","May 17th, 2009","September 17th, 2009|November 18th, 2011|October 7th, 2011"
"Politics","multiple","medium","What is former United States President Bill Clinton&#039;s full name?","William Jefferson Clinton","William Roosevelt Clinton|William Truman Clinton|William Lincoln Clinton"
"Entertainment: Television","multiple","easy","Who played the Waitress in the Spam sketch of &quot;Monty Python&#039;s Flying Circus&quot;?","Terry Jones","Eric Idle|Graham Chapman|John Cleese"
"Entertainment: Television","multiple","medium","Dee from &quot;It&#039;s Always Sunny in Philadelphia&quot; has dated all of the following guys EXCEPT","Matthew &quot;Rickety Cricket&quot; Mara","Colin the Thief|Ben the Soldier|Kevin Gallagher aka Lil&#039; Kevin"
"Science &amp; Nature","boolean","medium","El Ni&ntilde;o pushes warm water to the coasts of the Western Pacific during winter.","True","False"
"Entertainment: Video Games","multiple","hard","In the SHMUP series, &quot;Gradius&quot;, what is the name of the antagonist faction you fight against?","Bacterion","Bydo|Belsar|ORN Empire"
"Entertainment: Video Games","multiple","medium","What is the punishment for playing Postal 2 in New Zealand?","10 years in prison and a fine of $50,000","Fine of $5,000|Nothing|15 years in prison and a fine of $10,000"
"History","multiple","easy","What was Manfred von Richthofen&#039;s nickname?","The Red Baron","The High Flying Ace|The Blue Serpent |The Germany Gunner"
"Science &amp; Nature","boolean","hard","Frederick Banting and John Macleod won a Nobel Prize for their contributions to the scientific fields of quantum mechanics.","False","True"
"Entertainment: Cartoon &amp; Animations","multiple","easy","Butters Stotch, Pip Pirrup, and Wendy Testaburger are all characters in which long running animated TV series?","South Park","The Simpsons|Family Guy|Bob&#039;s Burgers"
"Geography","multiple","medium","What continent is the country Lesotho in?","Africa","Asia|South America|Europe"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In JoJo&#039;s Bizarre Adventure, which character is able to accelerate time?","Enrico Pucci","Jotaro Kujo|Jolyne Cujoh|Kujo Jotaro"
"Entertainment: Cartoon &amp; Animations","multiple","medium","What animated internet character is known to answer emails with his boxing gloves?","Strong Bad","Strong Sad|Strong Mad|Strong Glad"
"Sports","multiple","medium","In what country were the 2014 Winter Olympics held in the town of Sochi?","Russia","South Korea|Norway|Canada"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In the &quot;Re:Zero&quot; manga series, which of the following Sin Archbishops eats Rem&#039;s existence?","Ley Batenkaitos","Roy Alphard|Petelgeuse Romanee-Conti|Louis Arneb"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","Krusty is the guild master of which guild in &quot;Log Horizon&quot;?","D. D. D","Silver Sword|West Wind Brigade|Oceanic Systems (Marine Agency)"
"Geography","multiple","medium","Which two modern-day countries used to be known as the region of Rhodesia between the 1890s and 1980?","Zambia &amp; Zimbabwe","Togo &amp; Benin|Lesotho &amp; Swaziland|Rwanda &amp; Burundi"
"Science &amp; Nature","multiple","easy","How many chromosomes are in your body cells?","23","21|22|24"
"Entertainment: Video Games","multiple","medium","What is not a default game mode in Counter-Strike (2000)?","Arms Race","Hostage Rescue|Bomb Defusal|Assassination"
"Sports","multiple","easy","In golf, what name is given to a hole score of two under par?","Eagle","Birdie|Bogey|Albatross"
"Science: Computers","boolean","medium","FLAC stands for &quot;Free Lossless Audio Condenser&quot;&#039;","False","True"
"History","multiple","hard","Which of the following was not one of Joseph Stalin&#039;s ten blows during World War II?","Vistula-Oder Offensive","Crimean Offensive|Leningrad-Novgorod Offensive|Operation Bagration"
"History","multiple","easy","In what year did the nuclear power plant in Chernobyl melt down?","1986","1991|1975|1998"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","How many &quot;JoJos&quot; that are protagonists are there in the series &quot;Jojo&#039;s Bizarre Adventure&quot;?","8+","6+|4+|5+"
"Entertainment: Television","multiple","medium","What was Nickelodeon&#039;s original name?","Pinwheel","MTVKids|KidsTV|Splat!"
"Entertainment: Film","multiple","hard","Which actress portrayed Dr. Grace Augustine in the James Cameron movie &quot;Avatar&quot;?","Sigourney Weaver","Jessica Chastain|Melissa Beckett|Alyssa Monroe "
"Sports","boolean","medium","Formula E is an auto racing series that uses hybrid electric race cars.","False","True"
"Science: Computers","multiple","medium","Moore&#039;s law originally stated that the number of transistors on a microprocessor chip would double every...","Year","Four Years|Two Years|Eight Years"
"History","multiple","medium","What was the name of the first permanent English settlement in America?","Jamestown","New York|St. John&#039;s|Plymouth"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","What animation studio produced &quot;Gurren Lagann&quot;?","Gainax","Kyoto Animation|Pierrot|A-1 Pictures"
"Sports","multiple","hard","What team did England beat in the semi-final stage to win in the 1966 World Cup final?","Portugal","West Germany|Soviet Union|Brazil"
"Science &amp; Nature","multiple","medium","What is the study of the cells and tissues of plants and animals?","Histology","Microbiology|Anatomy|Biochemistry"
"Entertainment: Video Games","multiple","easy","&quot;Minecraft&quot; was released from beta in 2011 during a convention held in which city?","Las Vegas","Paris|Bellevue|London"
"Entertainment: Video Games","multiple","medium","In the game &quot;Cave Story,&quot; what is the character Balrog&#039;s catchphrase?","Huzzah!","Yes!|Whoa there!|Nyeh heh heh!"
"Entertainment: Music","multiple","medium","The co-creator of Gorillaz, Damon Albarn, is also the lead singer of what band?","Blur","Oasis|Radiohead|Queens of the Stone Age"
"Entertainment: Video Games","boolean","hard","In &quot;Portal 2&quot;, Cave Johnson started out Aperture Science as a shower curtain company.","True","False"
"Entertainment: Video Games","multiple","medium","What animal is featured in &quot;Bloons TD Battles&quot;?","Monkeys","Alligators|Pigeons|Lizards"
"General Knowledge","multiple","easy","What type of animal was Harambe, who was shot after a child fell into it&#039;s enclosure at the Cincinnati Zoo?","Gorilla","Tiger|Panda|Crocodile"
"Entertainment: Books","multiple","medium","Which American author was also a budding travel writer and wrote of his adventures with his dog Charley?","John Steinbeck","F. Scott Fitzgerald|Ernest Hemingway|William Faulkner"
"Geography","multiple","medium","All of the following countries have official claims to territory in Antartica EXCEPT:","United States","Australia|Chile|Norway"
"Geography","boolean","easy","There is an island in Japan called Ōkunoshima, A.K.A. &quot;Rabbit Island&quot;, so named because of it&#039;s huge population of rabbits.","True","False"
"Entertainment: Cartoon &amp; Animations","multiple","easy","In The Simpsons, which war did Seymour Skinner serve in the USA Army as a Green Beret?","Vietnam War","World War 2|World War 1|Cold War"
"Entertainment: Video Games","multiple","easy","Who stars in Brutal Legend?","Jack Black","Kanye West|Lemmy|Ozzy Osbourne"
"History","multiple","hard","The Battle of Hastings was fought in which year?","1066","911|1204|1420"
"History","multiple","easy","Which of the following countries was not an axis power during World War II?"," Soviet Union","Italy|Germany|Japan"
"Entertainment: Music","multiple","medium","Which artist curated the official soundtrack for &quot;The Hunger Games: Mockingjay - Part 1&quot;?","Lorde","Kanye West|Tove Lo|Charli XCX"
"General Knowledge","multiple","hard","According to the 2014-2015 Australian Bureau of Statistics, what percentage of Australians were born overseas?","28%","13%|20%|7%"
"General Knowledge","boolean","easy","Studies suggest that approximately 40% of the world population is left-handed.","False","True"
"Science &amp; Nature","multiple","medium","Which of the following is NOT a passive electrical component?","Transistor","Resistor|Capacitor|Inductor"
"History","multiple","hard","What micro-state is considered to have the oldest constitution still in effect?","San Marino","Andorra|Monaco|Saint Kitts and Nevis"
"History","multiple","medium","Who famously coined the phrase &quot;I think, therefore I am&quot;?","Descartes","Plato|Aristotle|Shakespeare"
"Geography","multiple","medium","What is the capital of Peru?","Lima","Santiago|Montevideo|Buenos Aires"
"Science &amp; Nature","multiple","hard","Which of the following is considered classical conditioning?","Pavlov&#039;s dog experiments","Skinner box experiment|Schr&ouml;dinger&#039;s cat experiment|Harlow&rsquo;s monkey experiments"
"Science &amp; Nature","boolean","medium","Type 1 diabetes is a result of the liver working improperly.","False","True"
"Entertainment: Video Games","boolean","medium","TF2: The Medic will be credited for an assist if he heals a Spy that successfully saps a building.","True","False"
"Entertainment: Video Games","multiple","hard","In Stardew Valley, what is the reward for completing all of the Bulletin Board bundles?","Additional Friendship points","Glittering Boulder removed|Bus is repaired|Greenhouse"
